mat_code,control_no,expiry,label_code
1000181,2604051936,20261231,4052894
1000181,2604051936,20261231,7488537
1000181,2604051936,20261231,8725523
1000181,2604051936,20261231,6173065
1000181,2604051936,20261231,2008731
1000181,2604051936,20261231,5454835
1000181,2604051936,20261231,9770172
1000181,2604051936,20261231,6403684
1000181,2604051936,20261231,1908232
1000181,2604051936,20261231,3404152
1000181,2604054441,20261231,9996917
1000181,2604054441,20261231,5992302
1000181,2604054441,20261231,3138291
1000181,2604054441,20261231,1833345
1000181,2604054441,20261231,3281986
1000181,2604054441,20261231,9744795
1000181,2604054441,20261231,8256814
1000181,2604054441,20261231,3993925
1000181,2604054441,20261231,3914149
1000181,2604054441,20261231,7304019
