mat_code,control_no,expiry,label_code
1000181,2604056409,20261231,2030656
1000181,2604056409,20261231,2383037
1000181,2604056409,20261231,1424941
1000181,2604056409,20261231,8802118
1000181,2604056409,20261231,9210702
1000181,2604056409,20261231,5645729
1000181,2604056409,20261231,2745024
1000181,2604056409,20261231,4526622
1000181,2604056409,20261231,9940938
1000181,2604056409,20261231,9732671
1000121,2604054754,20261231,9061846
1000121,2604054754,20261231,1475715
1000121,2604054754,20261231,7225550
1000121,2604054754,20261231,9421815
1000121,2604054754,20261231,4017616
1000121,2604054754,20261231,8946277
1000121,2604054754,20261231,5222216
1000121,2604054754,20261231,8741282
1000121,2604054754,20261231,7514411
1000121,2604054754,20261231,9206179
