mat_code,control_no,expiry,label_code
1000181,2603295474,20261231,5492855
1000181,2603295474,20261231,4847233
1000181,2603295474,20261231,6871020
1000181,2603295474,20261231,2180121
1000181,2603295474,20261231,3902120
1000181,2603295474,20261231,2276159
1000181,2603295474,20261231,9762223
1000181,2603295474,20261231,1896714
1000181,2603295474,20261231,8774636
1000181,2603295474,20261231,9159532
1000121,2603299855,20261231,3849657
1000121,2603299855,20261231,3753938
1000121,2603299855,20261231,4766861
1000121,2603299855,20261231,6368612
1000121,2603299855,20261231,7087758
1000121,2603299855,20261231,3820941
1000121,2603299855,20261231,2432504
1000121,2603299855,20261231,7861258
1000121,2603299855,20261231,5196754
1000121,2603299855,20261231,4414215
