mat_code,control_no,expiry,label_code
1000181,2604055607,20261231,4987551
1000181,2604055607,20261231,2486193
1000181,2604055607,20261231,3408782
1000181,2604055607,20261231,2533349
1000181,2604055607,20261231,2115115
1000181,2604055607,20261231,1710911
1000181,2604055607,20261231,9503176
1000181,2604055607,20261231,3181471
1000181,2604055607,20261231,2220250
1000181,2604055607,20261231,7214272
1000181,2604051196,20261231,5256075
1000181,2604051196,20261231,7770915
1000181,2604051196,20261231,1174898
1000181,2604051196,20261231,3334917
1000181,2604051196,20261231,7675407
1000181,2604051196,20261231,1389184
1000181,2604051196,20261231,6791375
1000181,2604051196,20261231,8317641
1000181,2604051196,20261231,5012617
1000181,2604051196,20261231,2076357
