mat_code,control_no,expiry,label_code
1000181,2604042710,20261231,7494456
1000181,2604042710,20261231,2373792
1000181,2604042710,20261231,4475953
1000181,2604042710,20261231,4488837
1000181,2604042710,20261231,1708673
1000181,2604042710,20261231,6759749
1000181,2604042710,20261231,2863668
1000181,2604042710,20261231,7872945
1000181,2604042710,20261231,7094655
1000181,2604042710,20261231,2689417
1000181,2604047506,20261231,1570961
1000181,2604047506,20261231,1934613
1000181,2604047506,20261231,6190903
1000181,2604047506,20261231,5978531
1000181,2604047506,20261231,4041822
1000181,2604047506,20261231,4806932
1000181,2604047506,20261231,9693004
1000181,2604047506,20261231,5610573
1000181,2604047506,20261231,6859495
1000181,2604047506,20261231,8429065
