mat_code,control_no,expiry,label_code
1000181,2603295474,20261231,7944648
1000181,2603295474,20261231,4226860
1000181,2603295474,20261231,3135625
1000181,2603295474,20261231,8790294
1000181,2603295474,20261231,8807679
1000181,2603295474,20261231,9995091
1000181,2603295474,20261231,4520991
1000181,2603295474,20261231,2122260
1000181,2603295474,20261231,7811984
1000181,2603295474,20261231,5940949
1000121,2603299855,20261231,8276844
1000121,2603299855,20261231,1994701
1000121,2603299855,20261231,1259891
1000121,2603299855,20261231,1646400
1000121,2603299855,20261231,8388538
1000121,2603299855,20261231,1071309
1000121,2603299855,20261231,3771363
1000121,2603299855,20261231,9773353
1000121,2603299855,20261231,2051539
1000121,2603299855,20261231,4279437
