mat_code,control_no,expiry,label_code
1000181,2604047010,20261231,7796887
1000181,2604047010,20261231,2398946
1000181,2604047010,20261231,9193925
1000181,2604047010,20261231,8741845
1000181,2604047010,20261231,4813953
1000181,2604047010,20261231,1563366
1000181,2604047010,20261231,2091455
1000181,2604047010,20261231,9430017
1000181,2604047010,20261231,2350186
1000181,2604047010,20261231,1715862
1000181,2604044439,20261231,1267812
1000181,2604044439,20261231,9438076
1000181,2604044439,20261231,1232202
1000181,2604044439,20261231,1063422
1000181,2604044439,20261231,6337468
1000181,2604044439,20261231,7878491
1000181,2604044439,20261231,9691685
1000181,2604044439,20261231,6289736
1000181,2604044439,20261231,2286495
1000181,2604044439,20261231,2126522
