mat_code,control_no,expiry,label_code
1000181,2604045439,20261231,3752813
1000181,2604045439,20261231,3126560
1000181,2604045439,20261231,5764324
1000181,2604045439,20261231,5524891
1000181,2604045439,20261231,8939555
1000181,2604045439,20261231,5491275
1000181,2604045439,20261231,7976632
1000181,2604045439,20261231,8922107
1000181,2604045439,20261231,3809540
1000181,2604045439,20261231,7832547
1000181,2604049334,20261231,4955125
1000181,2604049334,20261231,4157763
1000181,2604049334,20261231,3809116
1000181,2604049334,20261231,1509724
1000181,2604049334,20261231,3580949
1000181,2604049334,20261231,5625054
1000181,2604049334,20261231,1054719
1000181,2604049334,20261231,4652057
1000181,2604049334,20261231,5636660
1000181,2604049334,20261231,9993171
