mat_code,control_no,expiry,label_code
1000181,2603305869,20261231,4662750
1000181,2603305869,20261231,3840488
1000181,2603305869,20261231,3043280
1000181,2603305869,20261231,7808835
1000181,2603305869,20261231,1785372
1000181,2603305869,20261231,6579135
1000181,2603305869,20261231,1803505
1000181,2603305869,20261231,2189430
1000181,2603305869,20261231,5514695
1000181,2603305869,20261231,3106214
1000121,2603307653,20261231,5661840
1000121,2603307653,20261231,9100774
1000121,2603307653,20261231,5978321
1000121,2603307653,20261231,5682781
1000121,2603307653,20261231,2748842
1000121,2603307653,20261231,9438382
1000121,2603307653,20261231,8848629
1000121,2603307653,20261231,5900775
1000121,2603307653,20261231,2819357
1000121,2603307653,20261231,7430180
